name;department;line_id;station_id;type;name_station;num_docks_available;cargo_docks;is_installed;date_installed;repair_station;inflator_station;video_monitoring;lockers;vae_refills;automatic_sensors_counting;automatic_video_counting;price;price_navigo;url_subscription;url_find_out_more;project_owner;id_contrat;zdcname;zdcld;municipality;insee_code;intercommunality;x_long;y_lat;Geo Point;Geo Shape;code_sav
Savigny-le-temple-nandy;77.0;RER D;238;consigne;Parvis De La Gare;20;;true;2019;False;False;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/238;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Savigny-le-Temple - Nandy;62290;Savigny-le-Temple;77445;CA Grand Paris Sud Seine Essonne Sénart;2.5833854621754;48.595502871477;48.595502871477, 2.5833854621754;"{""coordinates"": [2.58338546218, 48.5955028715], ""type"": ""Point""}";548
Seugy;95.0;TRAIN H;1260;abri;;10;;true;2024;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Seugy;67180;Seugy;95594;CC Carnelle Pays-De-France;2.399008;49.119179;49.119179, 2.399008;"{""coordinates"": [2.399008, 49.119179], ""type"": ""Point""}";#N/A
Sucy-bonneuil;94.0;RER A;147;abri;;16;;true;2016;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Sucy - Bonneuil;72929;Sucy-en-Brie;94071;EPT Grand Paris Sud Est Avenir;2.50831303513;48.7708352679999;48.7708352679999, 2.50831303513;"{""coordinates"": [2.50831303513, 48.770835268], ""type"": ""Point""}";#N/A
Torcy;77.0;RER A;945;abri;;36;;true;2023;False;False;False;False;False;False;False;;NC;NC;;RATP;65.0;Torcy;68129;Torcy;77468;CA Paris - Vallée de la Marne;2.6552454;48.8395056;48.8395056, 2.6552454;"{""coordinates"": [2.6552454, 48.8395056], ""type"": ""Point""}";#N/A
Triel-sur-seine;78.0;TRAIN J;851;consigne;Triel-sur-seine;20;;true;2025;False;False;False;False;False;False;False;30 €;0 €;https://idf-mobilites.fr/poissymur-parking-velos;;IDFM;34.0;Triel-sur-Seine;463843;Triel-sur-Seine;78624;CU Grand Paris Seine et Oise;2.005984;48.980789;48.980789, 2.005984;"{""coordinates"": [2.005984, 48.980789], ""type"": ""Point""}";544
Triel-sur-seine;78.0;TRAIN J;64;abri;;10;;true;2015;False;False;False;False;False;False;False;;NC;NC;;CU - Grand Paris Seine et Oise;;Triel-sur-Seine;463843;Triel-sur-Seine;78624;CU Grand Paris Seine et Oise;2.00516693623;48.9821018678999;48.9821018678999, 2.00516693623;"{""coordinates"": [2.00516693623, 48.9821018679], ""type"": ""Point""}";#N/A
Lisiere-pereire;78.0;TRAM 13;1033;abri;;10;;true - non labellisé non financé;2022;False;False;False;False;False;False;False;;NC;NC;;NC;;Lisière Pereire;64622;Saint-Germain-en-Laye;78551;CA Saint-Germain Boucles de Seine;2.072559;48.902798;48.902798, 2.072559;"{""coordinates"": [2.072559, 48.902798], ""type"": ""Point""}";#N/A
Val D'europe;77.0;RER A;51;consigne;Val D'europe;56;;true;2015;False;True;True;False;False;False;False;30 €;0 €;https://portail.cykleo.fr/park_marne_et_gondoire;;CA - Marne et Gondoire;55.0;Val d'Europe;68266;Montévrain;77307;CA Val d'Europe Agglomération;2.77130565601;48.8545396589999;48.8545396589999, 2.77130565601;"{""coordinates"": [2.77130565601, 48.854539659], ""type"": ""Point""}";510
Vauboyen;78.0;RER C,TRAIN V;784;consigne;Vauboyen;10;;true;2025;False;False;False;False;False;False;False;30 €;0 €;https://idf-mobilites.fr/velizyval-parking-velos;;IDFM;27.0;Bièvres;63404;Jouy-en-Josas;78322;CA Versailles Grand Parc;2.192313;48.759304;48.759304, 2.192313;"{""coordinates"": [2.192313, 48.759304], ""type"": ""Point""}";545
Vernouillet-verneuil;78.0;RER E,TRAIN J;150;consigne;Vernouillet-verneuil;40;;true;2016;False;False;True;False;False;False;False;30 €;0 €;https://mon-espace.iledefrance-mobilites.fr/souscription-service-parking-velos/150;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Vernouillet - Verneuil;65691;Verneuil-sur-Seine;78642;CU Grand Paris Seine et Oise;1.9830773107657;48.981066637002;48.981066637002, 1.9830773107657;"{""coordinates"": [1.98307731077, 48.981066637], ""type"": ""Point""}";548
Vigneux-sur-seine;91.0;RER D;202;abri;;20;;true;2021;False;False;False;False;False;False;False;;NC;NC;https://www.iledefrance-mobilites.fr/services-mobilite-alternative/parkings-velos;SNCF;68.0;Vigneux-sur-Seine;63071;Vigneux-sur-Seine;91657;CA Val d'Yerres Val de Seine;2.4140525699;48.7080808855;48.7080808855, 2.4140525699;"{""coordinates"": [2.4140525699, 48.7080808855], ""type"": ""Point""}";#N/A
