Nom du site;Code_insee;Departement;Adresse;Code_postal;Commune;Capacité maximum;Compétence location;Compétence information;Retrait pour vélo à assistance électrique;Retrait pour vélo à assistance électrique rallongé;Retrait pour biporteur à assistance électrique;Retrait pour triporteur à assistance électrique;Restitution pour vélo à assistance électrique;Restitution pour vélo à assistance électrique rallongé;Restitution pour biporteur à assistance électrique;Restitution pour triporteur à assistance électrique;Type de site;Nombre  remise;Nombre reprise;x_long;y_lat;Geo Point
Samo Coop Cargo;94068;94;43 Boulevard de la Marne;94210;ST MAUR DES FOSSES;50;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;PDL physique;226;0;2.50153404;48.79291601;48.79291601, 2.50153404
ISSY LES MOULINEAUX PDC;92040;92;45 RUE HOCHE;92130;ISSY LES MOULINEAUX;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;374;0;2.269261427;48.82367037;48.82367037, 2.269261427
FLEETER;92012;92;11 Avenue Ferdinand Buisson;92100;BOULOGNE BILLANCOURT;5;Oui;Oui;Non;Oui;Oui;Non;Non;Non;Non;Non;PDL physique;266;0;2.254340285;48.8358546;48.8358546, 2.254340285
La Poste - Site de Maisons Alfort;94046;94;28 avenue du professeur cadiot;94700;MAISONS ALFORT;7;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;527;22;2.432928;48.80377;48.80377, 2.432928
Bureau de Poste - Boulogne Billancourt Hôtel de ville;92012;92;27 AVENUE ANDRE MORIZET;92100;BOULOGNE BILLANCOURT;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;395;19;2.239867;48.835508;48.835508, 2.239867
La Poste - Site de Villetaneuse;93079;93;14 rue Maurice Paillard;93430;VILLETANEUSE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;145;3;2.346532;48.95487;48.95487, 2.346532
Décathlon - Montreuil;93048;93;67 Bis/79 Rue de la République;93100;MONTREUIL;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;798;67;2.41584;48.8521;48.8521, 2.41584
Décathlon - Provins;77414;77;24 Route de Champbenoist;77160;PROVINS;1;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;13;0;3.2992;48.55363;48.55363, 3.2992
La Poste - Site de Goussainville;95241;95;1 Rue Joseph Jacquard;95190;GOUSSAINVILLE;15;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;34;0;2.45538;49.024647;49.024647, 2.45538
Bureau de Poste - Fosses;95580;95;AVENUE DU MESNIL;95470;FOSSES;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;7;0;2.516475;49.09794;49.09794, 2.516475
Les mureaux bp;78140;78;CENTRE COMMERCIAL ESPACE;78130;LES MUREAUX;0;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;PDL physique;47;4;1.911906;48.978723;48.978723, 1.911906
La Poste PASSY;75116;75;38 RUE SINGER;75016;PARIS 16;5;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;413;13;2.276651;48.856585;48.856585, 2.276651
POISSY PPDC;78498;78;1 RD 30 Chemin de Rocourt;78300;POISSY;4;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;8;0;2.060129482;48.95168208;48.95168208, 2.060129482
Bureau de Poste - Ballancourt-sur-Essonne;91045;91;22 RUE DE L AUNETTE;91610;BALLANCOURT SUR ESSONNE;3;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;PDL physique;10;0;2.380285;48.526732;48.526732, 2.380285
